path,label,split
garbage-classification/garbage_classification/shoes/shoes146.jpg,8,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/metal/metal_01826.jpg,4,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/metal/metal_02620.jpg,4,train
garbage-classification/garbage_classification/clothes/clothes2617.jpg,8,train
garbage-classification/garbage_classification/biological/biological14.jpg,7,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/glass/glass_01932.jpg,0,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/paper/paper_00453.jpg,1,train
garbage-classification/garbage_classification/shoes/shoes1903.jpg,8,train
garbage-classification/garbage_classification/white-glass/white-glass137.jpg,0,train
garbage-classification/garbage_classification/plastic/plastic295.jpg,3,train
garbage-classification/garbage_classification/clothes/clothes1487.jpg,8,train
garbage-classification/garbage_classification/cardboard/cardboard203.jpg,2,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/plastic/plastic_00916.jpg,3,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/metal/metal_01792.jpg,4,train
garbage-classification/garbage_classification/cardboard/cardboard498.jpg,2,train
garbage-classification/garbage_classification/white-glass/white-glass729.jpg,0,train
garbage-classification/garbage_classification/green-glass/green-glass235.jpg,0,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/plastic/plastic_00974.jpg,3,train
garbage-classification/garbage_classification/shoes/shoes797.jpg,8,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/metal/metal_02277.jpg,4,train
garbage-classification/garbage_classification/plastic/plastic255.jpg,3,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/plastic/plastic_03168.jpg,3,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/plastic/plastic_02079.jpg,3,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/cardboard/cardboard_01663.jpg,2,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/glass/glass_04188.jpg,0,train
garbage-classification/garbage_classification/shoes/shoes1155.jpg,8,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/paper/paper_00097.jpg,1,train
garbage-classification/garbage_classification/clothes/clothes2257.jpg,8,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/cardboard/cardboard_01279.jpg,2,train
garbage-dataset-classification/Garbage_Dataset_Classification/images/cardboard/cardboard_01680.jpg,2,train
